depth_m,gamma_ray_api,NP,PHIE,density_gcc,resistivity_ohmm,micro_resistivity_ohmm,SWE,VCL,FACIES,SW_RBB,PERM_ARI_5NN,PERM_GEO_5NN,PHIT,NTG_15_35,LOGPERM_ARI,LOGPERM_GEO,caliper_in
1699.8697,100.38040161,0.43325001,0.0270339996,2.2599999905,1.0398999453,1.1160999537,1.0,0.6773999929,,,,,0.2281659991,0.0,,,8.5
1700.0221,100.21779633,0.4477010071,0.0064730002,2.2809000015,1.0349999666,1.1073999405,1.0,0.7026000023,,,,,0.2150849998,0.0,,,8.5
1700.1745,100.13819885,0.4900969863,0.0001,2.2651000023,1.030099988,1.0994999409,1.0,0.7675999999,,,,,0.2280039936,0.0,,,8.5
1700.3269,100.50779724,0.4792850018,0.000578,2.2693998814,1.0242999792,1.0960999727,1.0,0.7511000037,,,,,0.2235549986,0.0,,,8.5
1700.4793,100.87789917,0.4823249876,0.0001,2.2755000591,1.018599987,1.0928000212,1.0,0.7566000223,,,,,0.2246980071,0.0,,,8.5
1700.6317,101.24759674,0.4580230117,0.0183729995,2.2565000057,1.0127999783,1.0894999504,1.0,0.7160999775,,,,,0.2309270054,0.0,,,8.5
1700.7841,101.16110229,0.4607920051,0.0287209991,2.23939991,1.0151000023,1.0885000229,1.0,0.7185000181,,,,,0.2419669926,0.0,,,8.5
1700.9365,100.99880219,0.4374350011,0.0533920005,2.2184000015,1.0187000036,1.0879000425,1.0,0.6791999936,,,,,0.254963994,0.0,,,8.5
1701.0889,100.83499908,0.4304899871,0.0466400012,2.2330000401,1.022300005,1.087299943,1.0,0.6699000001,,,,,0.2454549968,0.0,,,8.5
1701.2413,100.64089966,0.4460510015,0.0441530012,2.2263998985,1.023900032,1.0867999792,1.0,0.6937000155,,,,,0.2500120103,0.0,,,8.5
1701.3937,100.42410278,0.4510209858,0.0569549985,2.2033998966,1.0240000486,1.0865000486,1.0,0.6988999844,,,,,0.2643330097,0.0,,,8.5
1701.5461,100.20629883,0.3946819901,0.0533920005,2.2184000015,1.0240000486,1.0861999989,0.9610999823,0.6049000025,,,,,0.254963994,0.0,,,8.5
1701.6985,100.11509705,0.3950119913,0.0466400012,2.2263998985,1.0238000154,1.0866999626,1.0,0.6071000099,,,,,0.2500120103,0.0,,,8.5
1701.8509,100.32230377,0.4318589866,0.0565420017,2.2174999714,1.0233000517,1.0889999866,1.0,0.6703000069,,,,,0.2554070055,0.0,,,8.5
1702.0033,100.55220032,0.4534910023,0.0357230008,2.2339999676,1.0226999521,1.0914000273,1.0,0.7063999772,,,,,0.2452699989,0.0,,,8.5
1702.1557,100.77220154,0.4570110142,0.0277169999,2.2435998917,1.0220999718,1.0937999487,1.0,0.7131000161,,,,,0.2392300069,0.0,,,8.5
1702.3081,100.49980164,0.4290089905,0.036621999,2.2488999367,1.0250999928,1.0957000256,1.0,0.6694999933,,,,,0.2352070063,0.0,,,8.5
1702.4605,100.17289734,0.4296450019,0.0272259992,2.2623999119,1.0283999443,1.0974999666,1.0,0.6721000075,,,,,0.2265650034,0.0,,,8.5
1702.6129,99.845199585,0.4555279911,0.009606,2.2713999748,1.0317000151,1.0993000269,1.0,0.7139999866,,,,,0.2213529944,0.0,,,8.5
1702.7653,100.50679779,0.4576349854,0.000861,2.2839999199,1.0363999605,1.1013000011,1.0,0.7188000083,,,,,0.2140180022,0.0,,,8.5
1702.9177,101.65720367,0.4778639972,0.0001,2.2757000923,1.0418000221,1.103399992,1.0,0.7497000098,,,,,0.2224210054,0.0,,,8.5
1703.0701,102.86229706,0.4410620034,0.0226879995,2.2616000175,1.0471999645,1.1054999828,1.0,0.6901000142,,,,,0.2272959948,0.0,,,8.5
1703.2225,102.99759674,0.4286389947,0.034630999,2.2521998882,1.0485999584,1.1068999767,1.0,0.6693999767,,,,,0.2330919951,0.0,,,8.5
1703.3749,101.6894989,0.412458986,0.0349510014,2.2623999119,1.0447000265,1.1073999405,1.0,0.6449999809,,,,,0.2261860073,0.0,,,8.5
1703.5273,100.13870239,0.4130119979,0.0310420003,2.2678000927,1.0398999453,1.1076999903,1.0,0.646600008,,,,,0.2227140069,0.0,,,8.5
1703.6797,98.935501099,0.4247919917,0.0236109998,2.2711000443,1.0358999968,1.1080000401,1.0,0.6654999852,,,,,0.2208919972,0.0,,,8.5
1703.8321,99.386703491,0.42642501,0.0291189998,2.2618999481,1.035599947,1.1082999706,1.0,0.6669999957,,,,,0.2268339992,0.0,,,8.5
1703.9845,100.20899963,0.4259769917,0.018313,2.2781999111,1.0362000465,1.1086000204,1.0,0.668200016,,,,,0.2163719982,0.0,,,8.5
1704.1369,101.03119659,0.4418520033,0.0132240001,2.2751998901,1.0368000269,1.108899951,1.0,0.6930000186,,,,,0.218592003,0.0,,,8.5
1704.2893,101.61569977,0.4657439888,0.001043,2.2778000832,1.0389000177,1.1109000444,1.0,0.7308999896,,,,,0.2176579982,0.0,,,8.5
1704.4417,102.10500336,0.4813480079,0.000136,2.2701001167,1.0415999889,1.1136000156,1.0,0.7547000051,,,,,0.2237669975,0.0,,,8.5
1704.5941,102.5868988,0.4529489875,0.006027,2.2785999775,1.0442999601,1.1162999868,1.0,0.7109000087,,,,,0.2166659981,0.0,,,8.5
1704.7465,102.47239685,0.4293160141,0.0182429999,2.2760999203,1.0505000353,1.1203000546,1.0,0.6733000278,,,,,0.2177380025,0.0,,,8.5
1704.8989,101.79879761,0.4119989872,0.0225900002,2.2811000347,1.0600999594,1.1253999472,1.0,0.646600008,,,,,0.2141530067,0.0,,,8.5
1705.0513,101.00099945,0.4206559956,0.016446,2.2844998837,1.070299983,1.1309000254,1.0,0.6606000066,,,,,0.2121610045,0.0,,,8.5
1705.2037,100.52320099,0.4094859958,0.0289760008,2.2734000683,1.0769000053,1.1345000267,1.0,0.6417000294,,,,,0.2190749943,0.0,,,8.5
1705.3561,100.79199982,0.4117659926,0.0428530015,2.2513999939,1.0749000311,1.1338000298,1.0,0.6427999735,,,,,0.2332459986,0.0,,,8.5
1705.5085,101.30570221,0.4527890086,0.0223389994,2.2546999454,1.0700999498,1.1316000223,1.0,0.7078999877,,,,,0.2320050001,0.0,,,8.5
1705.6609,101.79100037,0.4622910023,0.0001,2.2864999771,1.0652999878,1.1296000481,1.0,0.7265999913,,,,,0.2152930051,0.0,,,8.5
1705.8133,101.78739929,0.46074301,0.0001,2.2946000099,1.0628999472,1.1282999516,1.0,0.7250999808,,,,,0.2148379982,0.0,,,8.5
1705.9657,101.57099915,0.4161779881,0.0123279998,2.2936999798,1.0614000559,1.1274000406,1.0,0.6546999812,,,,,0.2062020004,0.0,,,8.5
1706.1181,101.35500336,0.4349679947,0.0205099992,2.2692000866,1.0599000454,1.1265000105,1.0,0.6815000176,,,,,0.2223059982,0.0,,,8.5
1706.2705,101.09549713,0.4331519902,0.0398170017,2.2418999672,1.0563000441,1.1267999411,1.0,0.6754000187,,,,,0.2398090065,0.0,,,8.5
1706.4229,100.80220032,0.4522970021,0.0372439995,2.2330999374,1.0512000322,1.1282000542,1.0,0.7045999765,,,,,0.2458630055,0.0,,,8.5
1706.5753,100.5019989,0.4258230031,0.0430929996,2.2418999672,1.0457999706,1.1296999454,1.0,0.6639000177,,,,,0.2396389991,0.0,,,8.5
1706.7277,100.4095993,0.4314239919,0.0305579994,2.2567999363,1.0499999523,1.1338000298,1.0,0.6744999886,,,,,0.230223,0.0,,,8.5
1706.8801,100.64499664,0.4024829865,0.061209999,2.2304999828,1.0694999695,1.1418999434,1.0,0.6258000135,,,,,0.2464399934,0.0,,,8.5
1707.0325,101.00489807,0.4067740142,0.0653079972,2.2216999531,1.0950000286,1.1516000032,1.0,0.6315000057,,,,,0.2522239983,0.0,,,8.5
1707.1849,101.38089752,0.4104340076,0.056214001,2.2327001095,1.1157000065,1.15989995,1.0,0.6385999918,,,,,0.2452110052,0.0,,,8.5
1707.3373,101.82759857,0.4235489964,0.0362170003,2.2537000179,1.1168999672,1.1627999544,1.0,0.6617000103,,,,,0.2320519984,0.0,,,8.5
1707.4897,102.31349945,0.4041419923,0.0571490005,2.2355000973,1.1068999767,1.1625000238,1.0,0.6290000081,,,,,0.2432840019,0.0,,,8.5
1707.6421,102.79930115,0.3884159923,0.0506489985,2.2555000782,1.0968999863,1.1620999575,1.0,0.6065000296,,,,,0.2301210016,0.0,,,8.5
1707.7945,103.03179932,0.3892470002,0.0257249996,2.2918000221,1.0937000513,1.1629999876,1.0,0.6121000051,,,,,0.2068299949,0.0,,,8.5
1707.9469,103.05770111,0.4167129993,0.0001,2.3317000866,1.0960999727,1.1647000313,1.0,0.6600999832,,,,,0.1953980029,0.0,,,8.5
1708.0993,103.06950378,0.3980349898,0.0001,2.339099884,1.0987999439,1.1664999723,1.0,0.6315000057,,,,,0.1869210005,0.0,,,8.5
1708.2517,102.66699982,0.3886260092,0.0001,2.3455998898,1.0964000225,1.165899992,1.0,0.6173999906,,,,,0.1827439964,0.0,,,8.5
1708.4041,101.70120239,0.3863320053,0.0001,2.3389000893,1.0868999958,1.1619000435,1.0,0.6129999757,,,,,0.1814319938,0.0,,,8.5
1708.5565,100.54789734,0.4301530123,0.0001,2.3275001049,1.0750999451,1.1567000151,1.0,0.6808000207,,,,,0.201481998,0.0,,,8.5
1708.7089,99.700698853,0.4522759914,0.0001,2.2932999134,1.0671000481,1.15260005,1.0,0.7117000222,,,,,0.2106129974,0.0,,,8.5
1708.8613,99.643600464,0.4529150128,0.0001,2.2994999886,1.0688999891,1.1510000229,1.0,0.7135000229,,,,,0.211116001,0.0,,,8.5
1709.0137,100.07569885,0.4204869866,0.000518,2.302200079,1.0767999887,1.1510000229,1.0,0.6625999808,,,,,0.200861007,0.0,,,8.5
1709.1661,100.47389984,0.4172450006,0.0014440001,2.3111999035,1.0849000216,1.1511000395,1.0,0.6585999727,,,,,0.1961939931,0.0,,,8.5
1709.3185,100.49610138,0.4089320004,0.000777,2.3092000484,1.0959999561,1.15260005,1.0,0.6452000141,,,,,0.1961050034,0.0,,,8.5
1709.4709,100.15499878,0.4211870134,0.000518,2.3118000031,1.1098999977,1.1553000212,1.0,0.6649000049,,,,,0.1971070021,0.0,,,8.5
1709.6233,99.813697815,0.4158459902,0.000777,2.2960000038,1.1237000227,1.1579999924,1.0,0.6546000242,,,,,0.2047140002,0.0,,,8.5
1709.7757,99.550003052,0.430994004,0.000777,2.3039999008,1.1258000135,1.160400033,1.0,0.6794999838,,,,,0.2016489953,0.0,,,8.5
1709.9281,99.397201538,0.4415389895,0.0001,2.3066000938,1.1110999584,1.1622999907,1.0,0.6963999867,,,,,0.2059690058,0.0,,,8.5
1710.0805,99.266700745,0.433156997,0.0001,2.3099000454,1.0930000544,1.1641000509,1.0,0.6836000085,,,,,0.2021639943,0.0,,,8.5
1710.2329,99.389198303,0.4476360083,0.0001,2.2999999523,1.0815000534,1.1670999527,1.0,0.7052999735,,,,,0.2085639983,0.0,,,8.5
1710.3853,100.06929779,0.4234609902,0.0001,2.3039000034,1.0845999718,1.1726000309,1.0,0.6675999761,,,,,0.1998089999,0.0,,,8.5
1710.5377,101.05660248,0.4420630038,0.0001,2.3080999851,1.0958000422,1.1796000004,1.0,0.6974999905,,,,,0.2062209994,0.0,,,8.5
1710.6901,101.84809875,0.4423129857,0.0001,2.3243000507,1.1071000099,1.1864999533,1.0,0.6998000145,,,,,0.2068849951,0.0,,,8.5
1710.8425,101.76370239,0.4472930133,0.0001,2.320499897,1.118999958,1.193500042,1.0,0.7071999907,,,,,0.2090660036,0.0,,,8.5
1710.9949,100.77829742,0.4159319997,0.0001,2.3199000359,1.1312999725,1.2003999949,1.0,0.6575999856,,,,,0.1944060028,0.0,,,8.5
1711.1473,99.791999817,0.3680000007,0.0001,2.3169000149,1.1437000036,1.2073999643,1.0,0.5816000104,,,,,0.1902830005,0.0,,,8.5
1711.2997,99.511703491,0.3822720051,0.0141070001,2.3138999939,1.1533000469,1.2157000303,1.0,0.6037999988,,,,,0.1924919933,0.0,,,8.5
1711.4521,100.48239899,0.4085739851,0.0036539999,2.3120999336,1.1579999924,1.2265000343,1.0,0.6450999975,,,,,0.1942290068,0.0,,,8.5
1711.6045,101.49510193,0.4305630028,0.0001,2.3187000751,1.1626000404,1.2374000549,1.0,0.6805999875,,,,,0.2011439949,0.0,,,8.5
1711.7569,102.33840179,0.4454480112,0.008347,2.3078000546,1.1704000235,1.2482000589,1.0,0.6834999919,,,,,0.2102430016,0.0,,,8.5
1711.9093,102.77420044,0.4086129963,0.0068780002,2.3073999882,1.1861000061,1.2590999603,1.0,0.6446999907,,,,,0.1972769946,0.0,,,8.5
1712.0617,103.05519867,0.4001199901,0.0131780002,2.3036999702,1.2048000097,1.2699999809,1.0,0.6308000088,,,,,0.1994780004,0.0,,,8.5
1712.2141,103.28450012,0.3987950087,0.0188170001,2.296200037,1.219900012,1.2788000107,1.0,0.6279000044,,,,,0.2042320073,0.0,,,8.5
1712.3665,103.32460022,0.413248986,0.0108719999,2.298500061,1.2215000391,1.2804000378,1.0,0.6510000229,,,,,0.2030919939,0.0,,,8.5
1712.5189,103.19270325,0.4233250022,0.007549,2.3010001183,1.2108999491,1.2752000093,1.0,0.6607000232,,,,,0.202620998,0.0,,,8.5
1712.6713,103.06240082,0.4020040035,0.001702,2.3213999271,1.2003999949,1.2700999975,1.0,0.6359000206,,,,,0.1894499958,0.0,,,8.5
1712.8237,102.9437027,0.4053820074,0.001455,2.3199000359,1.1904000044,1.2653000355,1.0,0.6410999894,,,,,0.1907159984,0.0,,,8.5
1712.9761,102.84750366,0.4025599957,0.003122,2.3169999123,1.1813000441,1.2611000538,1.0,0.6363000274,,,,,0.1909579933,0.0,,,8.5
1713.1285,102.75150299,0.431652993,0.0155469999,2.279599905,1.1721999645,1.2568999529,1.0,0.6777999997,,,,,0.2156369984,0.0,,,8.5
1713.2809,102.52490234,0.4535090029,0.0174860004,2.2874000072,1.1664999723,1.2531000376,1.0,0.6858000159,,,,,0.2199099958,0.0,,,8.5
1713.4333,101.87989807,0.4732140005,0.0261209998,2.3327000141,1.1715999842,1.2510000467,1.0,0.6827999949,,,,,0.2276619971,0.0,,,8.5
1713.5857,101.16020203,0.4549350142,0.0128389997,2.3636000156,1.1785000563,1.2491999865,1.0,0.6787999868,,,,,0.2131779939,0.0,,,8.5
1713.7381,100.58409882,0.4336760044,0.0001,2.3297998905,1.1826000214,1.2463999987,1.0,0.6765000224,,,,,0.1997310072,0.0,,,8.5
1713.8905,100.61769867,0.421243012,0.000705,2.3115999699,1.1744999886,1.239199996,1.0,0.665199995,,,,,0.1969940066,0.0,,,8.5
1714.0429,101.04930115,0.440290004,0.0099879997,2.2827999592,1.1584999561,1.2293000221,1.0,0.690500021,,,,,0.2137410045,0.0,,,8.5
1714.1953,101.40149689,0.4666649997,0.0516309999,2.2090001106,1.1440999508,1.2201999426,1.0,0.6992999911,,,,,0.2579500079,0.0,,,8.5
1714.3477,101.23239899,0.4887950122,0.0676010028,2.1789000034,1.1396000385,1.2173999548,1.0,0.7020000219,,,,,0.274702996,0.0,,,8.5
1714.5001,100.21089935,0.4933759868,0.0231229998,2.2781999111,1.1517000198,1.2245999575,1.0,0.6945999861,,,,,0.2280399948,0.0,,,8.5
1714.6525,99.189498901,0.4802399874,0.0389610007,2.2781999111,1.1638000011,1.2318999767,1.0,0.6873999834,,,,,0.2417349964,0.0,,,8.5
1714.8049,98.378196716,0.4615559876,0.027857,2.2781999111,1.1770000458,1.2371000051,1.0,0.679700017,,,,,0.2283529937,0.0,,,8.5
1714.9573,98.691902161,0.438823998,0.01394,2.3008999825,1.1957000494,1.2316999435,1.0,0.6690999866,,,,,0.2112810016,0.0,,,8.5
1715.1097,99.005599976,0.4334180057,0.0162569992,2.3006000519,1.214400053,1.2263000011,1.0,0.6588000059,,,,,0.2105430067,0.0,,,8.5
1715.2621,99.327102661,0.45994699,0.0333489999,2.3152999878,1.2267999649,1.2196999788,1.0,0.6521000266,,,,,0.225654006,0.0,,,8.5
1715.4145,99.703102112,0.450812012,0.0168590005,2.314800024,1.1953999996,1.2049000263,1.0,0.6692000031,,,,,0.2142120004,0.0,,,8.5
1715.5669,100.10009766,0.4538620114,0.0024679999,2.314800024,1.147300005,1.1871000528,1.0,0.6973000169,,,,,0.208069995,0.0,,,8.5
1715.7193,100.42919922,0.3909159899,0.0027069999,2.3259000778,1.1007000208,1.1694999933,1.0,0.6190999746,,,,,0.1852380037,0.0,,,8.5
1715.8717,100.08889771,0.3886350095,0.003791,2.3255000114,1.0680999756,1.1541999578,1.0,0.6154000163,,,,,0.185236007,0.0,,,8.5
1716.0241,98.984397888,0.375169009,0.0235040002,2.3052000999,1.0514999628,1.1414999962,1.0,0.5917999744,,,,,0.1979710013,0.0,,,8.5
1716.1765,97.910202026,0.4170520008,0.0241190009,2.2767999172,1.0349999666,1.1289000511,1.0,0.6546000242,,,,,0.2170940042,0.0,,,8.5
1716.3289,97.297897339,0.4287439883,0.0374080017,2.2495000362,1.0206999779,1.1167000532,1.0,0.6699000001,,,,,0.2348729968,0.0,,,8.5
1716.4813,98.491203308,0.4181250036,0.0265009999,2.2725999355,1.0149999857,1.106400013,1.0,0.6557999849,,,,,0.2198089957,0.0,,,8.5
1716.6337,99.683601379,0.3944500089,0.0235040002,2.2804000378,1.0091999769,1.0960999727,1.0,0.6194000244,,,,,0.2143100053,0.0,,,8.5
1716.7861,100.81929779,0.4047619998,0.0234069992,2.2860000134,1.0037000179,1.0861999989,1.0,0.6363000274,,,,,0.210935995,0.0,,,8.5
1716.9385,100.5766983,0.4272699952,0.0195020009,2.2771000862,1.0022000074,1.0850000381,1.0,0.6707999706,,,,,0.2171850055,0.0,,,8.5
1717.0909,100.13960266,0.4266290069,0.006509,2.2857999802,1.0012999773,1.0850000381,1.0,0.6707999706,,,,,0.2119050026,0.0,,,8.5
1717.2433,99.713401794,0.4274779856,0.0139009999,2.285200119,1.0003999472,1.0850000381,1.0,0.6721000075,,,,,0.2119400054,0.0,,,8.5
1717.3957,100.11519623,0.4266290069,0.0044869999,2.2997000217,1.0015000105,1.0851999521,1.0,0.6725000143,,,,,0.2026190013,0.0,,,8.5
1717.5481,101.08200073,0.4368470013,0.0001,2.2897000313,1.0039000511,1.0855000019,1.0,0.6893000007,,,,,0.2031670064,0.0,,,8.5
1717.7005,102.05079651,0.4171350002,0.0053010001,2.2897000313,1.0062999725,1.0858000517,1.0,0.658100009,,,,,0.2083459944,0.0,,,8.5
1717.8529,102.54589844,0.3934339881,0.0260349996,2.2897000313,1.0104999542,1.0855000019,1.0,0.618900001,,,,,0.2083459944,0.0,,,8.5
1718.0053,102.02100372,0.3621850014,0.038927,2.2911000252,1.018599987,1.0839999914,1.0,0.5697000027,,,,,0.2067430019,0.0,,,8.5
1718.1577,101.47019958,0.3727540076,0.0362339988,2.2881999016,1.0267000198,1.0824999809,1.0,0.5860999823,,,,,0.2088550031,0.0,,,8.5
1718.3101,100.91159821,0.3988159895,0.0245099999,2.2883999348,1.0340000391,1.0808999538,1.0,0.627300024,,,,,0.2092519999,0.0,,,8.5
1718.4625,100.09770203,0.4213050008,0.0199379995,2.2860000134,1.0177999735,1.075600028,1.0,0.6618999839,,,,,0.2115609944,0.0,,,8.5
1718.6149,99.271499634,0.4319359958,0.011523,2.2860000134,1.0002000332,1.0701999664,1.0,0.6793000102,,,,,0.2115609944,0.0,,,8.5
1718.7673,98.444297791,0.4199520051,0.0210350007,2.2797999382,0.9826999903,1.064800024,1.0,0.6596999764,,,,,0.2152760029,0.0,,,8.5
1718.9197,98.696800232,0.425725013,0.0233670007,2.2725999355,0.9894999862,1.0656000376,1.0,0.6679999828,,,,,0.2200320065,0.0,,,8.5
1719.0721,99.391098022,0.4325259924,0.0570570007,2.2625999451,1.0062999725,1.0691000223,1.0,0.6723999977,,,,,0.226602003,0.0,,,8.5
1719.2245,100.11769867,0.4446359873,0.0742190033,2.1821000576,1.0238000154,1.0727000237,1.0,0.6873000264,,,,,0.226602003,0.0,,,8.5
1719.3769,100.58979797,0.4503679872,0.0001,2.1749000549,1.030099988,1.0760999918,1.0,0.6723999977,,,,,0.2287109941,0.0,,,8.5
1719.5293,100.7480011,0.4579269886,0.0401920006,2.2267000675,1.0226999521,1.0791000128,1.0,0.7135000229,,,,,0.2502050102,0.0,,,8.5
1719.6817,100.8707962,0.4340850115,0.026447,2.2625999451,1.0135999918,1.0821000338,1.0,0.6800000072,,,,,0.226602003,0.0,,,8.5
1719.8341,100.96920013,0.4051530063,0.0155339995,2.2976999283,1.0103000402,1.0853999853,1.0,0.6384999752,,,,,0.2034370005,0.0,,,8.5
1719.9865,100.96350098,0.3921659887,0.0170549992,2.3039999008,1.0319999456,1.0894999504,1.0,0.6187000275,,,,,0.1991270036,0.0,,,8.5
1720.1389,100.94110107,0.3934929967,0.0204409994,2.2980999947,1.057700038,1.0937000513,1.0,0.6201000214,,,,,0.2029179931,0.0,,,8.5
1720.2913,100.91880035,0.4057419896,0.0129500004,2.301199913,1.0834000111,1.097900033,1.0,0.6398000121,,,,,0.201214999,0.0,,,8.5
1720.4437,100.9414978,0.4254119992,0.0162150003,2.2834999561,1.0656000376,1.0938999653,1.0,0.6687999964,,,,,0.2130019963,0.0,,,8.5
1720.5961,100.97769928,0.475308001,0.00091,2.2736001015,1.0348000526,1.0873999596,1.0,0.7465000153,,,,,0.2205300033,0.0,,,8.5
1720.7485,101.01490021,0.4761750102,0.0112680001,2.2576999664,1.003000021,1.0808000565,1.0,0.7459999919,,,,,0.2307309955,0.0,,,8.5
1720.9009,101.0326004,0.4467220008,0.0224149991,2.2604999542,0.9886000156,1.0784000158,1.0,0.6998000145,,,,,0.2282769978,0.0,,,8.5
1721.0533,101.03430176,0.4149389863,0.0384470001,2.257600069,0.988499999,1.0795999765,1.0,0.6492999792,,,,,0.2294310033,0.0,,,8.5
1721.2057,101.03309631,0.4062390029,0.035978999,2.2669000626,0.9908999801,1.0814000368,1.0,0.6366000175,,,,,0.2232329994,0.0,,,8.5
1721.3581,100.82759857,0.4170419872,0.0393889993,2.2548000813,0.9975000024,1.0831999779,1.0,0.6523000002,,,,,0.2312339991,0.0,,,8.5
1721.5105,100.18650055,0.4443730116,0.0332549997,2.2460999489,1.013299942,1.0850000381,1.0,0.6944000125,,,,,0.2374839932,0.0,,,8.5
1721.6629,99.430702209,0.4518939853,0.0156440008,2.2671999931,1.0313999653,1.0867999792,1.0,0.7088000178,,,,,0.2240809947,0.0,,,8.5
1721.8153,98.722198486,0.4574010074,0.0088280002,2.2736999989,1.0473999977,1.0881999731,1.0,0.7182999849,,,,,0.220036,0.0,,,8.5
1721.9677,98.651100159,0.4415810108,0.0129469996,2.2780001163,1.0339000225,1.0834000111,1.0,0.6937999725,,,,,0.2169419974,0.0,,,8.5
1722.1201,98.79650116,0.4387620091,0.0202949997,2.2690000534,1.0104000568,1.0764000416,1.0,0.6883000135,,,,,0.2226590067,0.0,,,8.5
1722.2725,98.942100525,0.4437290132,0.0199250001,2.266299963,0.986800015,1.0694999695,1.0,0.6958000064,,,,,0.2244919986,0.0,,,8.5
1722.4249,99.514602661,0.4157409966,0.0364950001,2.2600998878,0.986199975,1.067800045,1.0,0.6509000063,,,,,0.2278410047,0.0,,,8.5
1722.5773,100.37400055,0.3926180005,0.03895,2.271600008,1.0008000135,1.0695999861,1.0,0.6157000065,,,,,0.2199440002,0.0,,,8.5
1722.7297,101.28119659,0.381990999,0.0376809984,2.2804999352,1.0181000233,1.0720000267,1.0,0.6000000238,,,,,0.2140350044,0.0,,,8.5
1722.8821,101.67700195,0.4001680017,0.0240519997,2.2887001038,1.0252000093,1.0707000494,1.0,0.6297000051,,,,,0.2091200054,0.0,,,8.5
1723.0345,101.35250092,0.4321309924,0.0063390001,2.2941000462,1.0180000067,1.0638999939,1.0,0.6808000207,,,,,0.206419006,0.0,,,8.5
1723.1869,100.79489899,0.4488300085,0.0013370001,2.2909998894,1.0061999559,1.0555000305,1.0,0.706799984,,,,,0.2090519965,0.0,,,8.5
1723.3393,100.18260193,0.4363020062,0.0081780003,2.288599968,0.9951999784,1.0477999449,1.0,0.6868000031,,,,,0.2099850029,0.0,,,8.5
1723.4917,99.358398438,0.4430859983,0.003581,2.2909998894,0.9873999953,1.0433000326,1.0,0.6977999806,,,,,0.2086080015,0.0,,,8.5
1723.6441,98.433601379,0.4275180101,0.001256,2.3062999249,0.9811000228,1.0403000116,1.0,0.6750000119,,,,,0.1995700002,0.0,,,8.5
1723.7965,97.509803772,0.4651510119,0.0032939999,2.3025999069,0.9746999741,1.0372999907,1.0,0.719900012,,,,,0.2148060054,0.0,,,8.5
1723.9489,97.4375,0.4534960091,0.0001,2.318500042,0.9733999968,1.0372999907,1.0,0.7174999714,,,,,0.2108670026,0.0,,,8.5
1724.1013,97.929199219,0.4395830035,0.0001,2.3175001144,0.975300014,1.0392999649,1.0,0.6953999996,,,,,0.2043659985,0.0,,,8.5
1724.2537,98.452102661,0.411650002,0.0001,2.3271000385,0.9774000049,1.0413999557,1.0,0.6524000168,,,,,0.1917189956,0.0,,,8.5
1724.4061,98.169898987,0.4402540028,0.0001,2.3257000446,0.9769999981,1.0420999527,1.0,0.6973999739,,,,,0.204934001,0.0,,,8.5
1724.5585,96.945297241,0.4641320109,0.0053019999,2.3160998821,0.9736999869,1.0411000252,1.0,0.7089999914,,,,,0.2135320008,0.0,,,8.5
1724.7109,95.4375,0.5004789829,0.0455770008,2.3159000874,0.9695000052,1.0396000147,1.0,0.6801000237,,,,,0.2452889979,0.0,,,8.5
1724.8633,93.982398987,0.4841530025,0.0505390018,2.3259000778,0.9656999707,1.0374000072,1.0,0.6521000266,,,,,0.2420330048,0.0,,,8.5
1725.0157,92.645500183,0.4952459931,0.0586830005,2.331099987,0.9629999995,1.0334000587,1.0,0.6263999939,,,,,0.2426249981,0.0,,,8.5
1725.1681,91.37210083,0.4561499953,0.0570649989,2.3215999603,0.9609000087,1.0285999775,1.0,0.6019999981,,,,,0.2338140011,0.0,,,8.5
1725.3205,90.293899536,0.4200359881,0.0472030006,2.3046998978,0.9593999982,1.0245000124,1.0,0.5813000202,,,,,0.2178619951,0.0,,,8.5
1725.4729,91.029296875,0.3727459908,0.038931001,2.28489995,0.9638000131,1.0271999836,1.0,0.5860000253,,,,,0.2109709978,0.0,,,8.5
1725.6253,93.212898254,0.3702029884,0.034359999,2.2934000492,0.9728000164,1.0353000164,1.0,0.5830000043,,,,,0.2055010051,0.0,,,8.5
1725.7777,95.396499634,0.392787993,0.059638001,2.2411999702,0.9818999767,1.0434999466,1.0,0.6126000285,,,,,0.2394540012,0.0,,,8.5
1725.9301,96.511398315,0.4052290022,0.0925029963,2.184499979,0.9883000255,1.0491000414,1.0,0.6255999804,,,,,0.2761310041,0.0,,,8.5
1726.0825,96.356399536,0.418204993,0.0217589997,2.2411999702,0.991599977,1.0518000126,1.0,0.6974999905,,,,,0.2264720052,0.0,,,8.5
1726.2349,95.970199585,0.395889014,0.0866409987,2.1993000507,0.9943000078,1.0539000034,1.0,0.6126000285,,,,,0.2664250135,0.0,,,8.5
1726.3873,95.760803223,0.4182829857,0.0411950015,2.2518999577,0.9961000085,1.0556999445,1.0,0.6542000175,,,,,0.233160004,0.0,,,8.5
1726.5397,95.888702393,0.4487180114,0.0290750004,2.2558999062,0.9961000085,1.0569000244,1.0,0.6884999871,,,,,0.2310959995,0.0,,,8.5
1726.6921,96.181900024,0.4929180145,0.0584789999,2.2139000893,0.9951999784,1.0578000546,1.0,0.6941000223,,,,,0.2621310055,0.0,,,8.5
1726.8445,96.486801147,0.4808990061,0.0618820004,2.1993000507,0.9921000004,1.057199955,0.9517999887,0.6998999715,,,,,0.2672300041,0.0,,,8.5
